epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
48,10201.4,1.2631,1.60639,0.74611,0.00496,0.65363,0.9325,0.8963,0.95518,0.72278,0.92516,0.88381,0.94624,0.68369,0.99791,1.33116,0.54185,0.00608,0,0.000449,0.000449,0.000449
49,10399.3,1.2725,1.62494,0.76592,0.00504,0.66362,0.94122,0.89597,0.9557,0.723,0.93392,0.8876,0.94846,0.68629,1.00057,1.32125,0.53067,0.00615,0,0.000416,0.000416,0.000416
50,10593,1.26658,1.62078,0.73459,0.00505,0.64506,0.93719,0.88909,0.95496,0.72332,0.93089,0.88059,0.94647,0.68646,1.00022,1.31292,0.51882,0.00627,0,0.000383,0.000383,0.000383
51,10791.8,1.22081,1.55871,0.63448,0.00587,0.57753,0.94509,0.89249,0.95752,0.73288,0.94247,0.88406,0.95108,0.69422,0.99131,1.30213,0.50405,0.00585,0,0.00035,0.00035,0.00035
52,10984.9,1.21006,1.53092,0.61967,0.00581,0.55533,0.94347,0.90837,0.96218,0.73769,0.93853,0.90725,0.95704,0.70101,0.98931,1.27447,0.48221,0.00588,0,0.000317,0.000317,0.000317
53,11182.5,1.20395,1.52853,0.61141,0.0057,0.54262,0.94427,0.89372,0.95904,0.73685,0.94189,0.8905,0.95344,0.7017,0.98121,1.26761,0.49521,0.00593,0,0.000284,0.000284,0.000284
54,11375.3,1.19401,1.50157,0.58898,0.0056,0.53617,0.94711,0.90564,0.96205,0.73933,0.94172,0.90048,0.95839,0.7043,0.97807,1.25475,0.48883,0.00588,0,0.000251,0.000251,0.000251
55,11571.2,1.18402,1.49844,0.59067,0.00557,0.51897,0.94884,0.91395,0.96508,0.7445,0.94455,0.91014,0.96155,0.707,0.97509,1.24253,0.47305,0.00585,0,0.000218,0.000218,0.000218
56,11768.6,1.17689,1.48891,0.59235,0.00557,0.52371,0.951,0.91257,0.9658,0.74678,0.94612,0.91079,0.96262,0.71259,0.9597,1.23779,0.47578,0.00569,0,0.000185,0.000185,0.000185
57,11957.6,1.16849,1.48218,0.59312,0.00553,0.52281,0.9485,0.91465,0.9669,0.74747,0.94416,0.91047,0.96373,0.71404,0.96758,1.24386,0.46876,0.00578,0,0.000152,0.000152,0.000152
58,12143.6,1.16193,1.45783,0.5785,0.00536,0.50433,0.95198,0.91498,0.96636,0.74811,0.94976,0.91111,0.9637,0.71298,0.96625,1.23574,0.47104,0.00579,0,0.000119,0.000119,0.000119
59,12328.5,1.17253,1.46522,0.57439,0.00548,0.50874,0.95031,0.91772,0.9661,0.74835,0.94897,0.91643,0.96438,0.71431,0.96045,1.23047,0.46218,0.00571,0,8.6e-05,8.6e-05,8.6e-05
60,12522.9,1.16024,1.46026,0.57319,0.00538,0.5023,0.94908,0.91846,0.96708,0.74902,0.9462,0.91761,0.96463,0.71331,0.95839,1.22995,0.46169,0.0057,0,5.3e-05,5.3e-05,5.3e-05
